ts,mem_used_mb,mem_total_mb,gpu_util,gpu_mem_util
1758870850.936256,23871,24576,0,0
1758870851.4375567,23871,24576,0,0
1758870851.9385736,23871,24576,0,0
1758870852.4393718,23871,24576,0,0
1758870852.940874,23871,24576,0,0
1758870853.442166,23871,24576,0,0
1758870853.9442024,23871,24576,0,0
1758870854.4452178,23871,24576,0,0
1758870854.9461243,23871,24576,0,0
1758870855.4477782,23871,24576,0,0
1758870855.9489412,23871,24576,0,0
1758870856.4498734,23871,24576,0,0
1758870856.951523,23871,24576,0,0
1758870857.4525049,23871,24576,0,0
1758870857.954257,23871,24576,0,0
1758870858.4551232,23871,24576,0,0
1758870858.9564767,23871,24576,0,0
1758870859.4574578,23871,24576,0,0
1758870859.959204,23871,24576,0,0
1758870860.4604402,23871,24576,0,0
1758870860.9621787,23871,24576,0,0
1758870861.4631119,23871,24576,0,0
1758870861.9638548,23871,24576,0,0
1758870862.465564,23871,24576,0,0
1758870862.9670265,23871,24576,0,0
1758870863.4680278,23871,24576,0,0
1758870863.969237,23871,24576,0,0
1758870864.4708626,23871,24576,0,0
1758870864.9718027,23871,24576,0,0
1758870865.4727366,23871,24576,0,0
1758870865.9736784,23871,24576,0,0
1758870866.47519,23871,24576,0,0
1758870866.9768345,23871,24576,0,0
1758870867.4783628,23871,24576,0,0
1758870867.9800901,23871,24576,0,0
1758870868.4816296,23871,24576,0,0
1758870868.9830172,23871,24576,0,0
1758870869.484491,23871,24576,0,0
1758870869.985758,23871,24576,0,0
1758870870.4882872,23871,24576,0,0
1758870870.9899426,23871,24576,0,0
1758870871.4911017,23871,24576,0,0
1758870871.9926312,23871,24576,0,0
1758870872.4945035,23871,24576,0,0
1758870872.995574,23871,24576,0,0
1758870873.4969163,23871,24576,0,0
1758870873.9993412,23871,24576,0,0
1758870874.5015638,23871,24576,0,0
1758870875.0026417,23871,24576,0,0
1758870875.5042288,23871,24576,0,0
1758870876.0053256,23871,24576,0,0
1758870876.5070019,23871,24576,0,0
1758870877.0080876,23871,24576,0,0
1758870877.509312,23871,24576,0,0
1758870878.01071,23871,24576,0,0
1758870878.5115192,23871,24576,0,0
1758870879.013003,23871,24576,0,0
1758870879.5140898,23871,24576,0,0
1758870880.015753,23871,24576,0,0
1758870880.5170767,23871,24576,0,0
1758870881.0186167,23871,24576,0,0
1758870881.5199962,23871,24576,0,0
1758870882.0221019,23871,24576,0,0
1758870882.5235174,23871,24576,0,0
1758870883.024765,23871,24576,0,0
1758870883.526009,23871,24576,0,0
1758870884.026811,23871,24576,0,0
1758870884.528632,23871,24576,0,0
1758870885.0296342,23871,24576,0,0
1758870885.5306504,23871,24576,0,0
1758870886.031441,23871,24576,0,0
1758870886.532849,23871,24576,0,0
1758870887.0346036,23871,24576,0,0
1758870887.5356915,23871,24576,0,0
1758870888.0373764,23871,24576,0,0
1758870888.5388565,23871,24576,0,0
1758870889.0404515,23871,24576,0,0
1758870889.5418372,23871,24576,0,0
1758870890.043317,23871,24576,0,0
1758870890.5443447,23871,24576,0,0
1758870891.0452297,23871,24576,0,0
1758870891.5463343,23871,24576,0,0
1758870892.047754,23871,24576,0,0
1758870892.5493956,23871,24576,0,0
1758870893.0511677,23871,24576,0,0
1758870893.5520966,23871,24576,0,0
1758870894.0538163,23871,24576,0,0
1758870894.5548966,23871,24576,0,0
1758870895.0557597,23871,24576,0,0
1758870895.5564895,23871,24576,0,0
1758870896.0581343,23871,24576,0,0
1758870896.5600247,23871,24576,0,0
1758870897.0617392,23871,24576,0,0
1758870897.563254,23871,24576,0,0
1758870898.0649462,23871,24576,0,0
1758870898.5668626,23871,24576,0,0
1758870899.068147,23871,24576,0,0
1758870899.5697231,23871,24576,0,0
1758870900.0716193,23871,24576,0,0
1758870900.5733194,23871,24576,0,0
1758870901.0742035,23871,24576,0,0
1758870901.5755758,23871,24576,0,0
1758870902.076758,23871,24576,0,0
1758870902.579283,23871,24576,0,0
1758870903.0806332,23871,24576,0,0
1758870903.5814536,23871,24576,0,0
1758870904.0829802,23871,24576,0,0
1758870904.5841277,23871,24576,0,0
1758870905.0851681,23871,24576,0,0
1758870905.5862072,23871,24576,0,0
1758870906.0874543,23871,24576,0,0
1758870906.58917,23871,24576,0,0
1758870907.090429,23871,24576,0,0
1758870907.592071,23871,24576,0,0
1758870908.0933561,23871,24576,0,0
1758870908.5943341,23871,24576,0,0
1758870909.0958526,23871,24576,0,0
1758870909.597275,23871,24576,0,0
1758870910.0989227,23871,24576,0,0
1758870910.5998366,23871,24576,0,0
