request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
817e9b49-4c66-4304-9383-ea839f831a7d,1758871613.1806862,1758871613.18699,,1758871613.1869967,25,,,,"'""model""'"
04ac32e8-fe25-4726-b3b0-cab1b1a13bb9,1758871613.202614,1758871613.2026553,,1758871613.2026606,71,,,,"'""model""'"
9c2b6ff4-2e3f-47ae-9513-0ed035ad48b8,1758871613.224876,1758871613.2249393,,1758871613.224947,20,,,,"'""model""'"
9f0322f9-9831-4649-8b8a-24d3a7a9487d,1758871613.2321558,1758871613.2321866,,1758871613.232191,101,,,,"'""model""'"
759a93c5-8f4f-4dc4-8821-1747ad851591,1758871613.2953963,1758871613.2954319,,1758871613.2954366,34,,,,"'""model""'"
64769b70-7dba-4bdb-81d5-3f66397a6eb7,1758871613.3075995,1758871613.3076303,,1758871613.3076346,8,,,,"'""model""'"
0e2fd9f1-2a1e-46a9-8450-9c86b1397431,1758871613.3288183,1758871613.3288715,,1758871613.328878,48,,,,"'""model""'"
150d64a4-2a46-4181-b210-fde46afba9e2,1758871613.3340762,1758871613.3341048,,1758871613.334109,74,,,,"'""model""'"
cd71a753-7dc1-4c87-9c2b-966d794bd6c3,1758871613.3412573,1758871613.3412862,,1758871613.34129,62,,,,"'""model""'"
9da1c600-fb28-43c7-a74e-0a14618cab45,1758871613.3434439,1758871613.3434734,,1758871613.343477,121,,,,"'""model""'"
2a4fb6a1-17fd-499c-8fdb-f3567e6f8231,1758871613.4327266,1758871613.4327867,,1758871613.4327946,48,,,,"'""model""'"
9478125a-8ed8-45fe-830b-af59fdd2b440,1758871613.445047,1758871613.4451048,,1758871613.445112,30,,,,"'""model""'"
ec25acdb-d559-40d1-90bf-8318f263c492,1758871613.4774182,1758871613.4774973,,1758871613.4775064,101,,,,"'""model""'"
65947ced-ccdc-449c-89b0-5f4dfa4d043c,1758871613.496874,1758871613.496953,,1758871613.4969625,60,,,,"'""model""'"
480764b1-b750-4f1c-950d-62fb5a0eae6c,1758871613.5243015,1758871613.5243802,,1758871613.5243902,91,,,,"'""model""'"
0bf10f39-543b-419e-83e5-8b1275f67328,1758871613.5287366,1758871613.5288155,,1758871613.528825,79,,,,"'""model""'"
c50cd7ca-be5d-4c3a-91dd-311ee3dda266,1758871613.5451705,1758871613.54525,,1758871613.5452592,77,,,,"'""model""'"
3f866dc2-e20c-4754-a4cc-92fd05a3a019,1758871613.5556066,1758871613.5556862,,1758871613.5556955,58,,,,"'""model""'"
d2434651-2e9d-4f5f-a841-bab9a9bc100c,1758871613.5590298,1758871613.5591097,,1758871613.559119,12,,,,"'""model""'"
b8583a30-81a2-4b19-b39a-d0daa9450a76,1758871613.5824401,1758871613.5825207,,1758871613.58253,121,,,,"'""model""'"
5b1bf10b-c806-4683-b4e9-7591555d9eb2,1758871613.5948708,1758871613.5949507,,1758871613.5949602,57,,,,"'""model""'"
5687cfd8-b92c-453d-8f75-1a7197879412,1758871613.5982752,1758871613.5983546,,1758871613.598364,59,,,,"'""model""'"
ac6bcd7a-7305-4063-95c5-2f266345775d,1758871613.6016803,1758871613.6017597,,1758871613.6017692,31,,,,"'""model""'"
55abbc73-d488-4c84-acea-2cb01de2a66a,1758871613.6051016,1758871613.6051815,,1758871613.605191,29,,,,"'""model""'"
6ddb5951-d632-4204-bc42-8afada9e72c1,1758871613.6165273,1758871613.6166067,,1758871613.6166165,103,,,,"'""model""'"
1432e922-3bec-4bd9-b4e4-916e7ca832e4,1758871613.6439633,1758871613.6440427,,1758871613.6440523,99,,,,"'""model""'"
3955de68-67cf-4416-955b-d2006687f9a3,1758871613.7522547,1758871613.752334,,1758871613.752343,119,,,,"'""model""'"
986a78c4-04ee-42b0-9c4b-61a4c2b14d20,1758871613.7666976,1758871613.7667775,,1758871613.766787,88,,,,"'""model""'"
dab614aa-4f0d-46d7-9200-a767f36affc2,1758871613.7811391,1758871613.7812202,,1758871613.78123,46,,,,"'""model""'"
60dc3d97-aa47-421c-83ff-94fbe6d61a59,1758871613.7955732,1758871613.7956562,,1758871613.7956657,74,,,,"'""model""'"
1713fa2b-37ea-48d0-b9f3-8add4afbae5d,1758871613.7979844,1758871613.7980628,,1758871613.7980719,60,,,,"'""model""'"
3a6c608f-97a9-46ec-af75-a4b3697e6614,1758871613.8394046,1758871613.839484,,1758871613.8394933,9,,,,"'""model""'"
2c2bda19-3235-4173-9cd9-af4f87698e1a,1758871613.8558452,1758871613.855924,,1758871613.8559334,84,,,,"'""model""'"
4c4666f9-4c54-44f9-937e-ea5dfd2203f8,1758871613.879275,1758871613.879355,,1758871613.8793643,119,,,,"'""model""'"
8016631c-b3fa-49f7-8f03-a740dfb7e448,1758871613.8856702,1758871613.8857493,,1758871613.8857586,13,,,,"'""model""'"
76c8bed7-e29d-4193-a1c9-358292db35b1,1758871613.9311287,1758871613.9312093,,1758871613.9312181,79,,,,"'""model""'"
d1792194-5971-4ed1-ac15-833032c9b4fd,1758871613.9375775,1758871613.9376583,,1758871613.9376678,127,,,,"'""model""'"
e57df2aa-4a6f-4b30-affc-247dab99e68b,1758871613.9770174,1758871613.977097,,1758871613.9771063,16,,,,"'""model""'"
77be916c-f5d0-47bd-b83c-412127cb2f1f,1758871613.9884462,1758871613.9885254,,1758871613.9885347,94,,,,"'""model""'"
5e5c670a-b266-4734-9853-8647deb4a9fb,1758871613.9938588,1758871613.993938,,1758871613.993947,43,,,,"'""model""'"
3f5455d4-4946-454a-9d44-1f9f0eeb01eb,1758871613.9982598,1758871613.9983394,,1758871613.9983487,42,,,,"'""model""'"
5b4050bc-a48e-4579-9d88-abd82311a5b6,1758871614.0136945,1758871614.0137749,,1758871614.0137837,107,,,,"'""model""'"
029d2d8d-d46f-4966-9bc8-12f2d72b235f,1758871614.0161166,1758871614.0161963,,1758871614.0162053,23,,,,"'""model""'"
053bf3e3-6723-4087-af4c-f493afc9983b,1758871614.045556,1758871614.0456402,,1758871614.0456507,73,,,,"'""model""'"
4b600e67-3d9a-4b1f-968b-1ed2b1c8ede2,1758871614.050992,1758871614.0510716,,1758871614.0510812,107,,,,"'""model""'"
7d5ce678-9d53-447a-b685-579f1091173f,1758871614.068424,1758871614.0685036,,1758871614.0685127,53,,,,"'""model""'"
48cdde1d-11b6-4fc8-9ace-dc63aaec8dd4,1758871614.0758448,1758871614.075924,,1758871614.075933,32,,,,"'""model""'"
5715d8c9-d561-4ca6-a4c3-28888d029cb4,1758871614.105267,1758871614.1053464,,1758871614.105356,9,,,,"'""model""'"
9f5c1b97-95d5-43f9-9432-e4bab52180a0,1758871614.1196926,1758871614.1197724,,1758871614.119782,72,,,,"'""model""'"
d66b01c4-d3a9-406a-8791-df807d99faef,1758871614.1601224,1758871614.1602023,,1758871614.1602118,101,,,,"'""model""'"
fc1f8a6f-d6d8-4fa7-b264-7075c38bd683,1758871614.1615627,1758871614.1616435,,1758871614.161653,46,,,,"'""model""'"
e6193199-e3a8-4d4b-82f9-6fc7c0e07437,1758871614.1759908,1758871614.176071,,1758871614.17608,73,,,,"'""model""'"
2b5aa233-3140-431a-8116-c8f46ac30ae8,1758871614.2152302,1758871614.2153103,,1758871614.2153199,84,,,,"'""model""'"
72f058b3-4ef1-49c9-a7ee-b466ea4fb5ac,1758871614.2206662,1758871614.2207456,,1758871614.2207544,10,,,,"'""model""'"
67676c65-2d56-40ed-af8c-d9cf9031d871,1758871614.24811,1758871614.2481894,,1758871614.248199,64,,,,"'""model""'"
aec9e210-4e90-407e-9b02-a221ec23dd47,1758871614.253554,1758871614.2536345,,1758871614.253644,59,,,,"'""model""'"
3c53b4de-3e1c-4078-92a6-fad7e3178c86,1758871614.2689872,1758871614.269066,,1758871614.2690754,120,,,,"'""model""'"
36fe108f-ee82-42bc-961b-b71036e5c0d0,1758871614.277428,1758871614.277507,,1758871614.2775357,87,,,,"'""model""'"
03e58f6d-8453-423f-8679-3cb29dfaf2bf,1758871614.2998736,1758871614.2999523,,1758871614.2999618,32,,,,"'""model""'"
28a57cd6-40a9-4175-a1e9-a2a2d64e97bd,1758871614.3022811,1758871614.3023605,,1758871614.30237,39,,,,"'""model""'"
be98968d-42cb-478c-b488-1bebc024fa14,1758871614.3127055,1758871614.3127859,,1758871614.3127954,38,,,,"'""model""'"
15f19935-457f-4e4e-acf3-abdacc762160,1758871614.3171387,1758871614.3172185,,1758871614.317228,119,,,,"'""model""'"
16db983b-86b3-429e-9f93-e51ce2c9eccf,1758871614.325582,1758871614.325662,,1758871614.3256712,48,,,,"'""model""'"
ba4b78b8-9048-4eab-a743-7c5ce75fb140,1758871614.3450227,1758871614.345102,,1758871614.3451116,111,,,,"'""model""'"
ba0cd878-8978-46fa-b68d-98577d360fd5,1758871614.356435,1758871614.3565142,,1758871614.3565238,81,,,,"'""model""'"
