ts,mem_used_mb,mem_total_mb,gpu_util,gpu_mem_util
1758873719.7571511,23871,24576,0,0
1758873720.2586417,23871,24576,0,0
1758873720.7604759,23871,24576,0,0
1758873721.2615483,23871,24576,0,0
1758873721.7627027,23871,24576,0,0
1758873722.2634823,23871,24576,0,0
1758873722.7649648,23871,24576,0,0
1758873723.2660265,23871,24576,0,0
1758873723.7670174,23871,24576,0,0
1758873724.2679296,23871,24576,0,0
1758873724.7689204,23871,24576,0,0
1758873725.270391,23871,24576,0,0
1758873725.771419,23871,24576,0,0
1758873726.2725487,23871,24576,0,0
1758873726.7739499,23871,24576,0,0
1758873727.2747927,23871,24576,0,0
1758873727.77653,23871,24576,0,0
1758873728.2774503,23871,24576,0,0
1758873728.7784123,23871,24576,0,0
1758873729.2793014,23871,24576,0,0
1758873729.7807288,23871,24576,0,0
1758873730.2814667,23871,24576,0,0
1758873730.7826498,23871,24576,0,0
1758873731.2842445,23871,24576,0,0
1758873731.7866068,23871,24576,0,0
1758873732.2883427,23871,24576,0,0
1758873732.7897513,23871,24576,0,0
1758873733.2909355,23871,24576,0,0
1758873733.7918937,23871,24576,0,0
1758873734.2936301,23871,24576,0,0
1758873734.7947493,23871,24576,0,0
1758873735.2956188,23871,24576,0,0
1758873735.7973883,23871,24576,0,0
1758873736.2992752,23871,24576,0,0
1758873736.800824,23871,24576,0,0
1758873737.3018742,23871,24576,0,0
1758873737.8026981,23871,24576,0,0
1758873738.3039467,23871,24576,0,0
1758873738.8052409,23871,24576,0,0
1758873739.3061724,23871,24576,0,0
1758873739.8077812,23871,24576,0,0
1758873740.3096414,23871,24576,0,0
1758873740.811115,23871,24576,0,0
1758873741.3125675,23871,24576,0,0
1758873741.814041,23871,24576,0,0
1758873742.3157573,23871,24576,0,0
1758873742.8171628,23871,24576,0,0
1758873743.3190584,23871,24576,0,0
1758873743.8207386,23871,24576,0,0
1758873744.3228843,23871,24576,0,0
1758873744.824363,23871,24576,0,0
1758873745.3257613,23871,24576,0,0
1758873745.8274026,23871,24576,0,0
1758873746.3282292,23871,24576,0,0
1758873746.830864,23871,24576,0,0
1758873747.3324697,23871,24576,0,0
1758873747.834071,23871,24576,0,0
1758873748.3349133,23871,24576,0,0
1758873748.835687,23871,24576,0,0
1758873749.33677,23871,24576,0,0
1758873749.838188,23871,24576,0,0
1758873750.34058,23871,24576,0,0
1758873750.8421397,23871,24576,0,0
1758873751.3430414,23871,24576,0,0
1758873751.8440034,23871,24576,0,0
1758873752.3451896,23871,24576,0,0
1758873752.846329,23871,24576,0,0
1758873753.3476145,23871,24576,0,0
1758873753.849237,23871,24576,0,0
1758873754.350496,23871,24576,0,0
1758873754.8522036,23871,24576,0,0
1758873755.3535075,23871,24576,0,0
1758873755.854771,23871,24576,0,0
1758873756.3558998,23871,24576,0,0
1758873756.8568711,23871,24576,0,0
1758873757.3584852,23871,24576,0,0
1758873757.8600962,23871,24576,0,0
1758873758.3611088,23871,24576,0,0
1758873758.8619554,23871,24576,0,0
1758873759.363559,23871,24576,0,0
1758873759.8648481,23871,24576,0,0
1758873760.3662868,23871,24576,0,0
1758873760.8671534,23871,24576,0,0
1758873761.3685362,23871,24576,0,0
1758873761.8698812,23871,24576,0,0
1758873762.3714619,23871,24576,0,0
1758873762.8731637,23871,24576,0,0
1758873763.3749216,23871,24576,0,0
1758873763.8761625,23871,24576,0,0
1758873764.3774023,23871,24576,0,0
1758873764.8799105,23871,24576,0,0
1758873765.3816166,23871,24576,0,0
1758873765.8826554,23871,24576,0,0
1758873766.3853273,23871,24576,0,0
1758873766.8866727,23871,24576,0,0
1758873767.3892627,23871,24576,0,0
1758873767.8901975,23871,24576,0,0
1758873768.3913436,23871,24576,0,0
1758873768.8939316,23871,24576,0,0
1758873769.3952155,23871,24576,0,0
1758873769.8968303,23871,24576,0,0
1758873770.3984094,23871,24576,0,0
1758873770.8999126,23871,24576,0,0
1758873771.4007244,23871,24576,0,0
1758873771.9020503,23871,24576,0,0
1758873772.403441,23871,24576,0,0
1758873772.9049892,23871,24576,0,0
1758873773.4061897,23871,24576,0,0
1758873773.9074297,23871,24576,0,0
1758873774.4096084,23871,24576,0,0
1758873774.910885,23871,24576,0,0
1758873775.4135745,23871,24576,0,0
1758873775.915393,23871,24576,0,0
1758873776.4171433,23871,24576,0,0
1758873776.9181578,23871,24576,0,0
1758873777.4196951,23871,24576,0,0
1758873777.9211063,23871,24576,0,0
1758873778.4221594,23871,24576,0,0
1758873778.923357,23871,24576,0,0
1758873779.4249713,23871,24576,0,0
1758873779.9258153,23871,24576,0,0
1758873780.427093,23871,24576,0,0
1758873780.928863,23871,24576,0,0
1758873781.4300277,23871,24576,0,0
1758873781.9314356,23871,24576,0,0
1758873782.4324045,23871,24576,0,0
1758873782.934009,23871,24576,0,0
1758873783.4351811,23871,24576,0,0
1758873783.937736,23871,24576,0,0
1758873784.439022,23871,24576,0,0
1758873784.9407845,23871,24576,0,0
1758873785.4422536,23871,24576,0,0
1758873785.9435203,23871,24576,0,0
1758873786.44518,23871,24576,0,0
1758873786.946637,23871,24576,0,0
1758873787.4481866,23871,24576,0,0
1758873787.9496272,23871,24576,0,0
1758873788.4510047,23871,24576,0,0
1758873788.9523473,23871,24576,0,0
1758873789.4538903,23871,24576,0,0
1758873789.9549212,23871,24576,0,0
1758873790.456669,23871,24576,0,0
1758873790.9580252,23871,24576,0,0
1758873791.459703,23871,24576,0,0
1758873791.9615,23871,24576,0,0
1758873792.4623246,23871,24576,0,0
1758873792.9640868,23871,24576,0,0
1758873793.4656415,23871,24576,0,0
1758873793.9665165,23871,24576,0,0
1758873794.4682562,23871,24576,0,0
1758873794.9697864,23871,24576,0,0
1758873795.4713438,23871,24576,0,0
1758873795.9729002,23871,24576,0,0
1758873796.4741545,23871,24576,0,0
1758873796.9749727,23871,24576,0,0
1758873797.476693,23871,24576,0,0
1758873797.977502,23871,24576,0,0
1758873798.4783602,23871,24576,0,0
1758873798.9804068,23871,24576,0,0
1758873799.4817197,23871,24576,0,0
1758873799.9826548,23871,24576,0,0
1758873800.4837024,23871,24576,0,0
1758873800.9852903,23871,24576,0,0
1758873801.4868011,23871,24576,0,0
1758873801.9877687,23871,24576,0,0
1758873802.489146,23871,24576,0,0
1758873802.9900503,23871,24576,0,0
1758873803.4911575,23871,24576,0,0
1758873803.9927113,23871,24576,0,0
1758873804.4941645,23871,24576,0,0
1758873804.9958766,23871,24576,0,0
1758873805.4972792,23871,24576,0,0
1758873805.9984245,23871,24576,0,0
1758873806.499681,23871,24576,0,0
1758873807.0008667,23871,24576,0,0
1758873807.5016875,23871,24576,0,0
1758873808.002495,23871,24576,0,0
1758873808.5040781,23871,24576,0,0
